breach_id,return_period,log_damage
912,1250,8.575650760987806
912,12500,8.81001204797317
934,400,6.236369590203704
934,4000,6.792344427470809
934,40000,7.438971592395862
935,200,5.707110264748875
935,2000,6.398594934535208
940,200,5.602118820879701
940,2000,5.638354669333745
940,20000,5.802118375377063
940,199999,6.111467339502679
961,1000000,7.0909098220799835
962,10000,3.5263605246161616
962,100000,4.709530201312334
963,1250,7.901377353792616
964,125,6.78105762593618
964,1250,7.00397413672268
964,12500,7.0909098220799835
965,200,7.496097345175956
965,2000,8.03947991910045
965,20000,8.366602832783736
966,200,5.351858133476067
966,2000,5.739792912179234
966,20000,6.660575149839686
974,125,8.160803920954665
974,1250,8.839421607620602
974,12500,9.392745258631441
975,125,8.909370405197466
975,1250,9.012011377036412
975,12500,9.071193240566025
976,200,3.2188758248682006
976,2000,3.713572066704308
978,-9999,9.952325334619427
979,125,3.4339872044851463
979,1250,5.993961427306569
979,12500,6.3473892096560105
980,10000,7.273537862866534
981,10000,7.520289782161208
982,1000,10.085850775128717
982,10000,9.648145571052616
982,100000,10.12667110305036
983,4000,1.9459101490553132
985,4000,1.6094379124341003
986,4000,2.3978952727983707
987,4000,1.3862943611198906
988,4000,3.4657359027997265
990,125,5.916202062607435
990,1250,6.154858094016418
990,12500,9.546884034617925
991,125,9.798182590890704
991,1250,9.99884318585288
991,10000,10.12667110305036
992,400000,1.791759469228055
993,400000,1.6094379124341003
1067,125,9.472781556562168
1067,1250,9.741027444837728
1068,10000,9.392745258631441
1068,100000,10.043292972227004
1081,2000,2.302585092994046
1081,20000,2.3978952727983707
1081,200000,4.04305126783455
1082,2000,2.0794415416798357
1082,20000,3.14578456977916
1082,200000,3.6109179126442243
1083,4000,4.564348191467836
1083,40000,4.795790545596741
1083,400000,5.14166355650266
1084,4000,4.007333185232471
1084,40000,4.477336814478207
1084,400000,4.795790545596741
1085,4000,1.9459101490553132
1085,40000,3.269725624354962
1085,400000,3.8918202981106265
1086,4000,3.258096538021482
1086,40000,3.6375861597263857
1086,400000,4.564348191467836
1087,4000,4.127134385045092
1087,40000,4.438900196941288
1087,400000,4.709530201312334
1088,4000,3.091042453358316
1088,40000,4.2626798770413155
1088,400000,5.081404364984463
1089,4000,3.1354942159291497
1089,40000,3.58351893845611
1089,400000,4.0943445622221
1090,4000,2.3978952727983707
1090,40000,2.70805020110221
1090,400000,3.4339872044851463
1091,4000,1.0986122886681098
1091,40000,1.3862943611198906
1091,400000,1.6094379124341003
1092,400,6.68586094706836
1092,4000,6.898714534329988
1092,40000,7.00397413672268
1092,400000,7.00397413672268
