breach_id,geometry_x,geometry_y,river,dijkring,breach_name,initial_breach_width,breach_growth_method
1677,135308,446440,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,"Lek km 950,6 (Nieuwegein)","10,0",automatisch
1678,133038,445182,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,"Lek km 952,5 (IJsselstein)","10,0",automatisch
1679,132518,443436,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 954 (dkr16 VY040),"10,0",automatisch
1680,127082,442600,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,"Lek km 960,3 (Jaarsveld)","10,0",automatisch
1681,126175,441184,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 962 (dkr16 AW296),"10,0",automatisch
1682,123972,441805,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,Lek km 965 (Lopik),"10,0",automatisch
1683,116594,439424,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,Lek km 973 (Schoonhoven),"10,0",automatisch
1684,113759,436709,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 977 (dkr16 AW217),"10,0",automatisch
1685,107151,434504,Lek,Dijkring 15 - Lopiker- en Krimpenerwaard,"Lek km 984,3 (Lekkerkerk)","10,0",automatisch
1686,105945,433621,Lek,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lek km 985.5 (dkr16 AW171),"10,0",automatisch
1687,161546,507196,IJsselmeer,Dijkring 08 - Flevoland,Lelystad,"-999,0", 
1688,174479,540775,IJsselmeer,Dijkring 06 - Friesland en Groningen,Lemmer PM Sluis,"-999,0", 
1715,126691,426657,Boven Merwede,Dijkring 16 - Alblasserwaard en Vijfheerenlanden,Lingesluis (dkr16),"4,5","3,0"
1719,156950,424600,Maas,Dijkring 36 - Land van Heusden/de Maaskant,Lith,"12,0", 
1802,195635,438101,Pannerdensch kanaal,Dijkring 48 - Rijn en IJssel,Loo,"-9999,0",vast
1806,156104,426008,Maas,Dijkring 40 - Heerewaarden,Maas km 205,"-999,0", 
1807,154918,424372,Maas,Dijkring 40 - Heerewaarden,Maas km 207,"-999,0", 
1809,92362,434305,Nieuwe Maas,Dijkring 17 - IJsselmonde,"Maashaven (dkr17 km 34,6)","10,0",automatisch
1810,93650,434950,Nieuwe Maas,Dijkring 17 - IJsselmonde,"Maashaven (dkr17 km 36,1)","10,0",automatisch
1811,73821,439701,Nieuwe Maas,Dijkring 14 - Zuid-Holland,Maasluis_Oranjeplassen (dp D159),"10,0",automatisch
