source,target,distance_km,same_river,same_dijkring
99,45,1.540519392932137,1,0
99,177,2.6460325016900303,1,1
99,178,4.323365355831033,1,1
99,466,4.427471061452576,1,1
99,44,4.762099116986122,1,0
100,63,1.1327510759209192,1,0
100,75,3.1454451195339588,0,0
100,152,5.5747757802444395,1,0
100,15,5.802230691725382,1,0
100,37,6.4615961650353855,1,0
101,277,0.3908810560771652,1,1
101,498,0.4955501992734944,1,1
101,600,1.1862988662221674,1,1
101,605,1.2643709898601756,1,0
101,471,2.8495403138050177,1,1
102,155,2.3040555548857755,1,0
102,1,3.207763862880184,1,0
102,231,5.821439426808459,1,1
102,227,6.19477263505288,1,0
102,179,7.115142303566388,0,0
103,30,4.586586094253547,1,0
103,416,5.325226943520811,1,0
103,62,5.955684427502854,1,0
103,98,6.933492626375253,1,1
103,61,6.942787912647195,1,0
104,471,3.171127559717521,0,1
104,94,3.7215588131856787,0,1
104,604,4.729969344509539,0,0
104,600,4.866496583785917,0,1
104,277,5.370034822978338,0,1
105,499,7.833765441982547,0,0
105,85,9.085721655432769,0,0
105,301,11.18998074171712,0,0
105,245,12.585823652030088,0,0
105,306,13.2445790042568,1,1
106,44,4.204705102620159,1,0
106,178,4.475500530666933,1,0
106,466,4.549297198469231,1,0
106,240,5.233784577148739,1,1
106,177,6.125560300903094,1,0
107,108,1.9955011901775455,1,1
107,109,2.525,1,1
107,173,3.233095266149762,1,1
107,167,4.2271367377930895,1,0
107,168,5.7522333923442295,1,0
108,109,0.5813776741499452,1,1
108,173,1.252836781069266,1,1
108,107,1.9955011901775455,1,1
108,167,2.2450167037240503,1,0
108,168,3.7707007306334988,1,0
109,108,0.5813776741499452,1,1
109,173,0.7133582550163697,1,1
109,167,1.8129147801261922,1,0
109,107,2.525,1,1
109,168,3.318135621098089,1,0
110,282,2.260769780406665,0,1
110,114,3.2236805052610285,1,1
110,374,5.15948854054353,0,1
110,361,5.549644403022594,0,1
110,318,7.086788341696117,0,1
111,112,2.359068672167048,1,1
111,113,5.778745365561628,1,1
111,114,6.09796589036049,1,1
111,118,7.880424925091286,0,0
111,318,9.037119507896309,0,1
112,111,2.359068672167048,1,1
112,113,3.44124643116415,1,1
112,118,5.888512545626442,0,0
112,114,8.419764189096984,1,1
112,354,8.99700005557408,0,1
113,112,3.44124643116415,1,1
113,118,4.414466332412108,0,0
113,354,5.592879490924151,0,1
113,355,5.685275894800533,0,1
113,111,5.778745365561628,1,1
114,110,3.2236805052610285,1,1
114,282,5.466989299422489,0,1
114,111,6.09796589036049,1,1
114,374,7.152737238288569,0,1
